,dataset,k,Average Mean Error,Average stdDev
364,4,46,2.1353357955250716,2.3883775255839614
365,4,47,2.1375461348196,2.3946557240655295
366,4,48,2.1411560196024957,2.4004303245808645
367,4,49,2.143795320939545,2.405825684385567
368,4,50,2.1452408242969807,2.4118166955783895
369,4,51,2.1484916975124393,2.4181893823421534
370,4,52,2.1511569168438402,2.420956780465791
371,4,53,2.1539894292302857,2.4270736367380863
372,4,54,2.155298642421121,2.4311637950913476
373,4,55,2.1574462264039016,2.4354291675813124
374,4,56,2.160214944112323,2.4398054917122893
375,4,57,2.1623680759396713,2.4460239507491814
376,4,58,2.1645689775938104,2.4499882216120037
377,4,59,2.16708045270187,2.454582322342342
378,4,60,2.1695957683036546,2.4578304405060836
379,4,61,2.1716047447975555,2.4633382821278813
380,4,62,2.1758269100079874,2.4686528043452465
381,4,63,2.1785565255749844,2.4714939142113628
382,4,64,2.1813866821994763,2.4741934723513994
383,4,65,2.1854876764627713,2.478368401823201
384,4,66,2.189145365059033,2.482112924423626
385,4,67,2.1917508594436064,2.4839749216089047
386,4,68,2.1960067682386577,2.4882797261051275
387,4,69,2.201000305533155,2.4908146782468252
388,4,70,2.2040541526588937,2.4949052159799714
389,4,71,2.206801580423365,2.5002269294369066
390,4,72,2.209795161917518,2.503948390108353
391,4,73,2.212165369491082,2.50629146331426
392,4,74,2.216528992087837,2.5102273098355345
393,4,75,2.219504261054559,2.512112396956031
394,4,76,2.222060410162425,2.51580058198022
395,4,77,2.2243782727031665,2.5180392847683977
396,4,78,2.226868644666575,2.521871607443999
397,4,79,2.2292096506394783,2.5254767093202917
398,4,80,2.231975043081868,2.528946227532981
399,4,81,2.23460907347854,2.531559269828919
400,4,82,2.236738261890904,2.534354306050226
401,4,83,2.238379733253551,2.5365444053771298
402,4,84,2.239921602158888,2.5393355412855754
403,4,85,2.2420835827796046,2.5419646433768373
404,4,86,2.2449576204663217,2.5458577879006787
405,4,87,2.2466785146160797,2.548102307582
406,4,88,2.2488252462546887,2.5503083010912597
407,4,89,2.2501899710598616,2.55304629446753
408,4,90,2.2526985742834107,2.5561905488643224
409,4,91,2.255460918503938,2.5589272419149713
410,4,92,2.2585289573994296,2.562391921658592
411,4,93,2.260681957458941,2.566146562044068
412,4,94,2.26383378071003,2.5690974967712012
413,4,95,2.267404547582769,2.572712749807475
414,4,96,2.2694421850898423,2.575220271245107
415,4,97,2.2720585012330274,2.578545569888669
416,4,98,2.273736140029071,2.5807753368280215
417,4,99,2.2766037295210344,2.584252215736231
418,4,100,2.279093393782735,2.585747555253088
419,4,101,2.2815463931679423,2.5886842951435334
420,4,102,2.2835839421400514,2.5913471955422267
421,4,103,2.2868215902018214,2.5937100575417773
422,4,104,2.287917429212989,2.5957026233306038
423,4,105,2.290553886919136,2.598267298415994
424,4,106,2.292892620237094,2.6014686539901843
425,5,1,2.9076887776641507,3.3457074367885853
426,5,2,2.590109235540566,2.83600296601233
427,5,3,2.4845541030968548,2.594741221118562
428,5,4,2.430710547329245,2.5147567088816585
429,5,5,2.3937391383030184,2.5033122789972317
430,5,6,2.37317493410566,2.4930370373504367
431,5,7,2.3522738499342317,2.4703092528061608
432,5,8,2.3353199665617925,2.464534044605717
433,5,9,2.309088526496226,2.4385999433169925
434,5,10,2.2920613741754714,2.4111530576010676
435,5,11,2.270121564076158,2.369308991127648
436,5,12,2.249394887878616,2.344308896110176
